Date,Open,High,Low,Close,Volume
8-Sep-14,83.89,84.27,83.35,83.76,35296
5-Sep-14,85.20,85.23,84.34,84.95,43216
4-Sep-14,82.86,83.60,82.78,83.01,51537
3-Sep-14,82.90,83.09,82.40,82.68,49732
2-Sep-14,81.26,81.57,80.74,81.02,34713
29-Aug-14,81.88,81.90,81.11,81.62,24287
28-Aug-14,81.52,82.05,81.25,81.97,26028
27-Aug-14,83.10,83.40,82.64,83.25,25276
26-Aug-14,83.34,83.95,83.24,83.45,30735
25-Aug-14,82.56,83.14,82.34,82.86,41277
22-Aug-14,82.08,82.18,81.11,81.72,26454
21-Aug-14,82.01,82.90,82.01,82.65,54186
20-Aug-14,80.90,81.82,80.85,81.56,21582
19-Aug-14,82.38,82.38,81.96,82.20,19257
18-Aug-14,81.46,81.79,81.31,81.57,44069
15-Aug-14,82.14,82.40,79.50,80.34,85167
14-Aug-14,82.11,82.41,81.65,81.84,71346
13-Aug-14,80.94,81.31,80.80,81.19,22544
12-Aug-14,80.46,80.46,79.79,80.24,36534
11-Aug-14,81.02,81.68,81.02,81.32,48758
8-Aug-14,79.30,80.55,78.95,80.55,67139
7-Aug-14,80.27,80.51,78.12,78.54,87239
6-Aug-14,78.42,80.11,78.42,79.69,43860
5-Aug-14,80.89,80.97,79.73,80.00,56778
4-Aug-14,82.89,83.00,81.88,82.84,62886
1-Aug-14,82.14,82.56,80.97,81.50,40218
31-Jul-14,83.33,83.35,82.11,82.23,43777
30-Jul-14,85.21,85.45,84.15,84.72,66790
29-Jul-14,85.44,86.02,85.42,85.52,44307
28-Jul-14,85.28,85.49,84.25,85.08,45905
25-Jul-14,88.72,88.72,87.35,87.70,28533
24-Jul-14,89.38,89.55,88.82,89.39,14305
23-Jul-14,89.02,89.02,87.81,88.49,23803
22-Jul-14,88.63,89.25,88.63,89.02,27284
21-Jul-14,87.77,87.97,87.50,87.97,28052
18-Jul-14,87.97,88.94,87.72,88.91,49128
17-Jul-14,90.76,90.99,89.08,89.41,36154
16-Jul-14,91.34,91.95,91.09,91.88,15171
15-Jul-14,92.44,92.44,91.16,91.70,17800
14-Jul-14,91.74,92.19,91.56,92.01,23084
11-Jul-14,90.94,90.94,90.39,90.78,27904
